pair_id,item_left_id,item_right_id,item_left_logprob,item_right_logprob,item_left_bucket,item_right_bucket,pair_type,is_anchor,transitivity_triple_id,model_winner_id,model_winner_filename,left_filename,right_filename
75,17,75,-31.419925689697266,-17.021526336669922,C,B,adjacent,False,,75,b_75_logprob-17.02_depth2_亻于朩.png,a_17_logprob-31.42_depth2_木隹隹.png,b_75_logprob-17.02_depth2_亻于朩.png
76,55,70,-14.751511573791504,-12.20444107055664,B,A,adjacent,False,,70,b_70_logprob-12.20_depth1_犭于.png,a_55_logprob-14.75_depth2_犭山示.png,b_70_logprob-12.20_depth1_犭于.png
77,38,85,-19.521976470947266,-13.292071342468262,B,A,adjacent,False,,85,b_85_logprob-13.29_depth1_木瓦.png,a_38_logprob-19.52_depth2_舟皿米.png,b_85_logprob-13.29_depth1_木瓦.png
78,65,26,-55.91950988769531,-12.743080139160156,C,A,two-apart,True,,26,b_26_logprob-12.74_depth1_尸重.png,a_65_logprob-55.92_depth2_世𡿨山隹.png,b_26_logprob-12.74_depth1_尸重.png
79,58,74,-11.490041732788086,-17.417034149169922,A,B,adjacent,False,,58,a_58_logprob-11.49_depth1_氵车.png,a_58_logprob-11.49_depth1_氵车.png,b_74_logprob-17.42_depth2_彳言阝.png
80,5,78,-18.447521209716797,-14.238065719604492,B,A,adjacent,False,,78,b_78_logprob-14.24_depth2_木尸比.png,a_5_logprob-18.45_depth1_日止.png,b_78_logprob-14.24_depth2_木尸比.png
81,22,27,-28.21929931640625,-17.570690155029297,C,B,adjacent,False,,27,b_27_logprob-17.57_depth2_酉山民.png,a_22_logprob-28.22_depth2_牛木子.png,b_27_logprob-17.57_depth2_酉山民.png
82,85,34,-13.292071342468262,-30.464183807373047,A,C,two-apart,False,4.0,85,a_85_logprob-13.29_depth1_木瓦.png,a_85_logprob-13.29_depth1_木瓦.png,b_34_logprob-30.46_depth3_亻勹米犬.png
83,19,95,-21.825584411621094,-15.948890686035156,C,B,adjacent,False,,95,b_95_logprob-15.95_depth2_言⺊女.png,a_19_logprob-21.83_depth2_冂𠂆入.png,b_95_logprob-15.95_depth2_言⺊女.png
84,59,37,-52.70266342163086,-18.13975715637207,C,B,adjacent,False,,37,b_37_logprob-18.14_depth3_⺊厂工刂.png,a_59_logprob-52.70_depth3_𠂊𠁱頁𠂉灬.png,b_37_logprob-18.14_depth3_⺊厂工刂.png
85,0,66,-11.490913391113281,-15.64544677734375,A,B,adjacent,False,,0,a_0_logprob-11.49_depth1_⺊牙.png,a_0_logprob-11.49_depth1_⺊牙.png,b_66_logprob-15.65_depth2_亻氵且.png
86,10,4,-45.127925872802734,-14.553768157958984,C,B,adjacent,False,,4,b_4_logprob-14.55_depth2_亻宀朩.png,a_10_logprob-45.13_depth2_示𠂉缶頁.png,b_4_logprob-14.55_depth2_亻宀朩.png
87,94,54,-14.886737823486328,-12.640939712524414,B,A,adjacent,False,,54,b_54_logprob-12.64_depth1_牛非.png,a_94_logprob-14.89_depth1_皮巨.png,b_54_logprob-12.64_depth1_牛非.png
88,63,61,-19.64266586303711,-55.6508903503418,B,C,adjacent,False,,63,a_63_logprob-19.64_depth2_豸虫車.png,a_63_logprob-19.64_depth2_豸虫車.png,b_61_logprob-55.65_depth4_谷𡿨井非龰.png
89,2,67,-37.35856246948242,-14.852359771728516,C,B,adjacent,False,,67,b_67_logprob-14.85_depth1_龴九.png,a_2_logprob-37.36_depth4_⺊𡿨凵乚酉.png,b_67_logprob-14.85_depth1_龴九.png
90,72,99,-15.74618148803711,-13.477965354919434,B,A,adjacent,False,0.0,99,b_99_logprob-13.48_depth1_兆犬.png,a_72_logprob-15.75_depth2_耳龶缶.png,b_99_logprob-13.48_depth1_兆犬.png
91,19,78,-21.825584411621094,-14.238065719604492,C,A,two-apart,False,,78,b_78_logprob-14.24_depth2_木尸比.png,a_19_logprob-21.83_depth2_冂𠂆入.png,b_78_logprob-14.24_depth2_木尸比.png
92,82,6,-13.991565704345703,-16.21480369567871,A,B,adjacent,False,,82,a_82_logprob-13.99_depth2_山厂隹.png,a_82_logprob-13.99_depth2_山厂隹.png,b_6_logprob-16.21_depth1_承隹.png
93,50,89,-59.17383575439453,-18.78948402404785,C,B,adjacent,True,,89,b_89_logprob-18.79_depth2_言耂头.png,a_50_logprob-59.17_depth4_⺌𠂉𠃋皿宀刂.png,b_89_logprob-18.79_depth2_言耂头.png
94,68,78,-20.242103576660156,-14.238065719604492,B,A,adjacent,False,,78,b_78_logprob-14.24_depth2_木尸比.png,a_68_logprob-20.24_depth2_末卜皿.png,b_78_logprob-14.24_depth2_木尸比.png
95,62,83,-37.531455993652344,-12.960450172424316,C,A,two-apart,False,,83,b_83_logprob-12.96_depth2_氵耂厶.png,a_62_logprob-37.53_depth3_亻𠃋𡿨且.png,b_83_logprob-12.96_depth2_氵耂厶.png
96,41,43,-16.394723892211914,-31.800039291381836,B,C,adjacent,False,,41,a_41_logprob-16.39_depth1_民及.png,a_41_logprob-16.39_depth1_民及.png,b_43_logprob-31.80_depth2_巨⺊女.png
97,55,7,-14.751511573791504,-22.737812042236328,B,C,adjacent,False,,55,a_55_logprob-14.75_depth2_犭山示.png,a_55_logprob-14.75_depth2_犭山示.png,b_7_logprob-22.74_depth2_木九㐄.png
98,79,88,-17.48951530456543,-11.282393455505371,B,A,adjacent,False,,88,b_88_logprob-11.28_depth1_亻井.png,a_79_logprob-17.49_depth1_永牛.png,b_88_logprob-11.28_depth1_亻井.png
99,64,72,-11.007408142089844,-15.74618148803711,A,B,adjacent,False,,64,a_64_logprob-11.01_depth1_亻丑.png,a_64_logprob-11.01_depth1_亻丑.png,b_72_logprob-15.75_depth2_耳龶缶.png
100,16,98,-15.000873565673828,-12.740032196044922,B,A,adjacent,False,,98,b_98_logprob-12.74_depth1_虫生.png,a_16_logprob-15.00_depth1_钅𡸁.png,b_98_logprob-12.74_depth1_虫生.png
101,8,14,-14.421226501464844,-36.649452209472656,A,C,two-apart,False,,8,a_8_logprob-14.42_depth1_手犬.png,a_8_logprob-14.42_depth1_手犬.png,b_14_logprob-36.65_depth3_衤𠂉灬几.png
102,42,64,-32.71590805053711,-11.007408142089844,C,A,two-apart,False,,64,b_64_logprob-11.01_depth1_亻丑.png,a_42_logprob-32.72_depth2_子宀寸.png,b_64_logprob-11.01_depth1_亻丑.png
103,31,64,-28.864253997802734,-11.007408142089844,C,A,two-apart,False,,64,b_64_logprob-11.01_depth1_亻丑.png,a_31_logprob-28.86_depth2_𠂒勹缶.png,b_64_logprob-11.01_depth1_亻丑.png
104,95,24,-15.948890686035156,-25.57851791381836,B,C,adjacent,False,,95,a_95_logprob-15.95_depth2_言⺊女.png,a_95_logprob-15.95_depth2_言⺊女.png,b_24_logprob-25.58_depth2_亻木比.png
105,70,31,-12.20444107055664,-28.864253997802734,A,C,two-apart,False,,70,a_70_logprob-12.20_depth1_犭于.png,a_70_logprob-12.20_depth1_犭于.png,b_31_logprob-28.86_depth2_𠂒勹缶.png
106,39,7,-10.534568786621094,-22.737812042236328,A,C,two-apart,False,,39,a_39_logprob-10.53_depth1_木車.png,a_39_logprob-10.53_depth1_木車.png,b_7_logprob-22.74_depth2_木九㐄.png
107,51,83,-17.731124877929688,-12.960450172424316,B,A,adjacent,False,,83,b_83_logprob-12.96_depth2_氵耂厶.png,a_51_logprob-17.73_depth2_囗乛灬.png,b_83_logprob-12.96_depth2_氵耂厶.png
108,71,9,-17.296186447143555,-47.056949615478516,B,C,adjacent,False,,71,a_71_logprob-17.30_depth2_纟灬示.png,a_71_logprob-17.30_depth2_纟灬示.png,b_9_logprob-47.06_depth2_𠂊㐅木龰.png
109,74,26,-17.417034149169922,-12.743080139160156,B,A,adjacent,False,2.0,26,b_26_logprob-12.74_depth1_尸重.png,a_74_logprob-17.42_depth2_彳言阝.png,b_26_logprob-12.74_depth1_尸重.png
110,84,85,-16.359115600585938,-13.292071342468262,B,A,adjacent,False,,85,b_85_logprob-13.29_depth1_木瓦.png,a_84_logprob-16.36_depth2_宀龰𠂒.png,b_85_logprob-13.29_depth1_木瓦.png
111,99,94,-13.477965354919434,-14.886737823486328,A,B,adjacent,False,,99,a_99_logprob-13.48_depth1_兆犬.png,a_99_logprob-13.48_depth1_兆犬.png,b_94_logprob-14.89_depth1_皮巨.png
112,98,60,-12.740032196044922,-34.16989517211914,A,C,two-apart,False,,98,a_98_logprob-12.74_depth1_虫生.png,a_98_logprob-12.74_depth1_虫生.png,b_60_logprob-34.17_depth2_𠂉灬米夊.png
113,47,72,-21.60977554321289,-15.74618148803711,C,B,adjacent,False,0.0,72,b_72_logprob-15.75_depth2_耳龶缶.png,a_47_logprob-21.61_depth3_酉山疋灬.png,b_72_logprob-15.75_depth2_耳龶缶.png
114,18,33,-12.619673728942871,-18.17842674255371,A,B,adjacent,False,,18,a_18_logprob-12.62_depth1_氵页.png,a_18_logprob-12.62_depth1_氵页.png,b_33_logprob-18.18_depth2_勹耳瓜.png
115,25,13,-26.89478302001953,-13.625162124633789,C,A,two-apart,False,,13,b_13_logprob-13.63_depth2_疒灬灬.png,a_25_logprob-26.89_depth2_厂木灬.png,b_13_logprob-13.63_depth2_疒灬灬.png
116,29,16,-47.35588455200195,-15.000873565673828,C,B,adjacent,False,,16,b_16_logprob-15.00_depth1_钅𡸁.png,a_29_logprob-47.36_depth4_山宀且阝𠂊隹.png,b_16_logprob-15.00_depth1_钅𡸁.png
117,52,31,-16.22441291809082,-28.864253997802734,B,C,adjacent,False,,52,a_52_logprob-16.22_depth2_車阝皿.png,a_52_logprob-16.22_depth2_車阝皿.png,b_31_logprob-28.86_depth2_𠂒勹缶.png
118,46,14,-12.983068466186523,-36.649452209472656,A,C,two-apart,False,,46,a_46_logprob-12.98_depth1_几也.png,a_46_logprob-12.98_depth1_几也.png,b_14_logprob-36.65_depth3_衤𠂉灬几.png
119,51,58,-17.731124877929688,-11.490041732788086,B,A,adjacent,False,,58,b_58_logprob-11.49_depth1_氵车.png,a_51_logprob-17.73_depth2_囗乛灬.png,b_58_logprob-11.49_depth1_氵车.png
120,89,3,-18.78948402404785,-41.543251037597656,B,C,adjacent,False,,89,a_89_logprob-18.79_depth2_言耂头.png,a_89_logprob-18.79_depth2_言耂头.png,b_3_logprob-41.54_depth3_𠂉灬欠寸夊.png
121,52,56,-16.22441291809082,-13.845137596130371,B,A,adjacent,False,,56,b_56_logprob-13.85_depth2_山隹阝.png,a_52_logprob-16.22_depth2_車阝皿.png,b_56_logprob-13.85_depth2_山隹阝.png
122,98,10,-12.740032196044922,-45.127925872802734,A,C,two-apart,False,,98,a_98_logprob-12.74_depth1_虫生.png,a_98_logprob-12.74_depth1_虫生.png,b_10_logprob-45.13_depth2_示𠂉缶頁.png
123,53,93,-15.87448501586914,-11.977619171142578,B,A,adjacent,False,,93,b_93_logprob-11.98_depth1_車朿.png,a_53_logprob-15.87_depth2_⺊山禺.png,b_93_logprob-11.98_depth1_車朿.png
